offer_id,candidate_id,req_id,offer_date,fixed_ctc_offered_lpa,variable_ctc_offered_lpa,total_ctc_offered_lpa,offer_status,decline_reason,accepted_date,joining_date
OFR0001,CAN00039,REQ1020,2024-06-24,4.2,0.5,4.7,Expired,\N,\N,\N
OFR0002,CAN00065,REQ1017,2024-11-18,8.9,1.0,9.9,Accepted,\N,2024-11-25,2024-12-17
OFR0003,CAN00080,REQ1021,2024-12-23,39.8,9.4,49.2,Accepted,\N,2024-12-27,2025-02-26
OFR0004,CAN00118,REQ1010,2025-06-19,9.5,3.2,12.7,Declined,Compensation gap,\N,\N
OFR0005,CAN00127,REQ1049,2025-04-21,6.1,1.2,7.3,Accepted,\N,2025-04-22,\N
OFR0006,CAN00133,REQ1038,2025-05-12,50.6,10.0,60.6,Declined,Notice period conflict,\N,\N
OFR0007,CAN00139,REQ1060,2025-03-03,3.0,0.4,3.4,Accepted,\N,2025-03-10,2025-03-24
OFR0008,CAN00156,REQ1058,2025-04-14,2.3,0.5,2.8,Rescinded,\N,\N,\N
OFR0009,CAN00168,REQ1042,2025-06-25,3.4,0.6,4.0,Declined,Competing offer,\N,\N
OFR0010,CAN00171,REQ1027,2025-03-24,11.0,2.4,13.4,Accepted,\N,2025-03-28,2025-05-07
OFR0011,CAN00173,REQ1023,2025-03-17,5.7,0.9,6.6,Accepted,\N,2025-03-18,2025-04-08
OFR0012,CAN00177,REQ1050,2024-06-17,3.5,0.8,4.3,Expired,\N,\N,\N
OFR0013,CAN00186,REQ1059,2025-03-13,2.8,0.8,3.6,Extended,\N,\N,\N
OFR0014,CAN00217,REQ1001,2025-07-01,7.2,1.7,8.9,Declined,Competing offer,\N,\N
OFR0015,CAN00224,REQ1008,2025-04-01,5.2,0.9,6.1,Accepted,\N,2025-04-03,2025-07-03
OFR0016,CAN00244,REQ1060,2025-03-04,3.0,0.4,3.4,Declined,Counter-offer from current employer,\N,\N
OFR0017,CAN00248,REQ1048,2024-05-29,6.5,0.8,7.3,Accepted,\N,2024-06-03,2024-08-07
OFR0018,CAN00255,REQ1026,2024-09-18,21.0,6.6,27.6,Accepted,\N,2024-09-19,2024-11-21
OFR0019,CAN00276,REQ1023,2024-10-10,4.9,1.0,5.9,Extended,\N,\N,\N
OFR0020,CAN00320,REQ1058,2024-12-31,2.3,0.3,2.6,Declined,Location/relocation,\N,\N
OFR0021,CAN00331,REQ1009,2024-06-07,21.4,5.0,26.4,Extended,\N,\N,\N
OFR0022,CAN00336,REQ1023,2024-09-23,5.5,0.9,6.4,Declined,Competing offer,\N,\N
OFR0023,CAN00359,REQ1049,2025-03-28,5.3,1.6,6.9,Declined,Compensation gap,\N,\N
OFR0024,CAN00360,REQ1003,2024-08-19,6.8,0.8,7.6,Accepted,\N,2024-08-21,2024-10-28
OFR0025,CAN00369,REQ1060,2025-03-03,2.9,0.6,3.5,Accepted,\N,2025-03-05,2025-04-04
OFR0026,CAN00378,REQ1058,2024-12-25,2.7,0.3,3.0,Extended,\N,\N,\N
OFR0027,CAN00418,REQ1058,2025-01-16,2.3,0.4,2.7,Accepted,\N,2025-01-20,2025-04-28
OFR0028,CAN00433,REQ1060,2025-03-03,3.5,0.5,4.0,Extended,\N,\N,\N
OFR0029,CAN00434,REQ1023,2025-06-16,4.8,0.9,5.7,Accepted,\N,2025-06-17,\N
OFR0030,CAN00444,REQ1017,2024-11-13,7.8,2.4,10.2,Accepted,\N,2024-11-14,2025-01-16
OFR0031,CAN00445,REQ1056,2025-05-13,38.5,6.9,45.4,Extended,\N,\N,\N
OFR0032,CAN00469,REQ1032,2025-06-25,15.7,3.8,19.5,Extended,\N,\N,\N
OFR0033,CAN00508,REQ1055,2024-05-15,20.7,3.8,24.5,Accepted,\N,2024-05-20,2024-06-17
OFR0034,CAN00524,REQ1058,2025-03-21,2.2,0.7,2.9,Accepted,\N,2025-03-24,2025-06-30
OFR0035,CAN00525,REQ1055,2024-05-02,20.2,3.9,24.1,Declined,Compensation gap,\N,\N
OFR0036,CAN00529,REQ1032,2025-06-02,14.5,3.4,17.9,Declined,Competing offer,\N,\N
OFR0037,CAN00539,REQ1003,2024-08-16,5.5,0.9,6.4,Declined,Counter-offer from current employer,\N,\N
OFR0038,CAN00540,REQ1003,2024-08-19,5.7,1.5,7.2,Accepted,\N,2024-08-26,2024-09-02
OFR0039,CAN00552,REQ1009,2025-06-24,18.6,5.0,23.6,Accepted,\N,2025-06-25,2025-08-28
OFR0040,CAN00593,REQ1003,2024-08-16,5.7,1.0,6.7,Extended,\N,\N,\N
OFR0041,CAN00668,REQ1008,2025-02-17,5.6,1.0,6.6,Accepted,\N,2025-02-20,2025-05-06
OFR0042,CAN00686,REQ1049,2025-02-27,5.9,1.4,7.3,Declined,Counter-offer from current employer,\N,\N
OFR0043,CAN00693,REQ1012,2024-12-11,28.2,3.7,31.9,Declined,Notice period conflict,\N,\N
OFR0044,CAN00694,REQ1049,2025-04-24,5.9,0.9,6.8,Accepted,\N,2025-04-28,\N
OFR0045,CAN00707,REQ1003,2024-08-19,5.7,0.9,6.6,Accepted,\N,2024-08-26,2024-09-10
OFR0046,CAN00710,REQ1049,2025-04-28,5.1,1.6,6.7,Accepted,\N,2025-04-29,2025-05-05
OFR0047,CAN00722,REQ1053,2024-03-06,4.2,1.2,5.4,Expired,\N,\N,\N
OFR0048,CAN00751,REQ1015,2025-03-21,32.8,6.4,39.2,Accepted,\N,2025-03-26,2025-04-09
OFR0049,CAN00754,REQ1058,2025-04-30,2.7,0.3,3.0,Accepted,\N,2025-05-05,2025-05-27
OFR0050,CAN00768,REQ1009,2024-07-04,22.2,2.5,24.7,Expired,\N,\N,\N
OFR0051,CAN00771,REQ1017,2024-11-20,9.6,2.0,11.6,Accepted,\N,2024-11-21,2025-02-25
OFR0052,CAN00794,REQ1058,2024-11-29,2.2,0.7,2.9,Declined,Notice period conflict,\N,\N
OFR0053,CAN00798,REQ1058,2025-01-23,2.2,0.5,2.7,Extended,\N,\N,\N
