stage_id,candidate_id,req_id,stage_name,stage_sequence,stage_date,outcome,interviewer_id,feedback_score
STG000001,CAN00001,REQ1025,Recruiter Screening,1,2025-02-06,Cleared,\N,5
STG000002,CAN00001,REQ1025,Profile Submission,2,2025-02-10,Rejected – Culture Fit,REC014,1
STG000003,CAN00002,REQ1001,Recruiter Screening,1,2025-04-21,Cleared,\N,3
STG000004,CAN00002,REQ1001,Profile Submission,2,2025-05-01,Cleared,REC011,5
STG000005,CAN00002,REQ1001,Technical Round 1,3,2025-05-16,Rejected – Skills,REC015,2
STG000006,CAN00003,REQ1021,Recruiter Screening,1,2025-04-28,Rejected – Skills,\N,1
STG000007,CAN00004,REQ1010,Recruiter Screening,1,2025-05-19,Cleared,\N,4
STG000008,CAN00004,REQ1010,Profile Submission,2,2025-05-22,Cleared,REC009,5
STG000009,CAN00004,REQ1010,Technical Round 1,3,2025-05-26,Cleared,REC003,5
STG000010,CAN00004,REQ1010,Technical Round 2,4,2025-06-02,Cleared,REC010,3
STG000011,CAN00004,REQ1010,Hiring Manager Round,5,2025-06-09,Cleared,REC006,5
STG000012,CAN00004,REQ1010,Offer Stage,6,2025-06-12,Candidate Withdrew,REC009,\N
STG000013,CAN00005,REQ1060,Recruiter Screening,1,2025-02-24,Cleared,\N,3
STG000014,CAN00005,REQ1060,HR Intro Round,2,2025-02-25,Rejected – Skills,REC003,2
STG000015,CAN00006,REQ1009,Recruiter Screening,1,2024-10-14,Cleared,\N,3
STG000016,CAN00006,REQ1009,Profile Submission,2,2024-10-22,Rejected – Skills,REC004,2
STG000017,CAN00007,REQ1019,Recruiter Screening,1,2024-06-04,Req Cancelled Mid-Process,\N,\N
STG000018,CAN00008,REQ1004,Recruiter Screening,1,2025-01-27,Cleared,\N,4
STG000019,CAN00008,REQ1004,Profile Submission,2,2025-02-13,Rejected – Compensation Mismatch,REC008,1
STG000020,CAN00009,REQ1057,Recruiter Screening,1,2025-02-26,Cleared,\N,5
STG000021,CAN00009,REQ1057,Profile Submission,2,2025-03-03,Cleared,REC005,5
STG000022,CAN00009,REQ1057,Technical Round 1,3,2025-03-10,Cleared,REC012,3
STG000023,CAN00009,REQ1057,Technical Round 2,4,2025-03-17,Cleared,REC010,4
STG000024,CAN00009,REQ1057,System Design Round,5,2025-03-24,Cleared,REC001,\N
STG000025,CAN00009,REQ1057,Panel Round,6,2025-03-27,Cleared,REC013,5
STG000026,CAN00009,REQ1057,Culture Fit Round,7,2025-04-04,Rejected – Skills,REC014,1
STG000027,CAN00010,REQ1005,Recruiter Screening,1,2024-12-26,Cleared,\N,4
STG000028,CAN00010,REQ1005,Profile Submission,2,2025-01-10,Cleared,REC009,3
STG000029,CAN00010,REQ1005,Technical Round 1,3,2025-01-27,Cleared,REC002,3
STG000030,CAN00010,REQ1005,Technical Round 2,4,2025-02-06,Rejected – Skills,REC015,2
STG000031,CAN00011,REQ1004,Recruiter Screening,1,2025-03-10,Cleared,\N,3
STG000032,CAN00011,REQ1004,Profile Submission,2,2025-03-27,Cleared,REC013,3
STG000033,CAN00011,REQ1004,Technical Round 1,3,2025-04-11,Rejected – Skills,REC009,3
STG000034,CAN00012,REQ1054,Recruiter Screening,1,2024-12-06,Cleared,\N,3
STG000035,CAN00012,REQ1054,Profile Submission,2,2024-12-10,Rejected – Skills,REC010,3
STG000036,CAN00013,REQ1044,Recruiter Screening,1,2025-02-19,Cleared,\N,4
STG000037,CAN00013,REQ1044,Profile Submission,2,2025-02-26,Cleared,REC002,5
STG000038,CAN00013,REQ1044,Technical Round 1,3,2025-02-27,Candidate Ghosted,REC011,\N
STG000039,CAN00014,REQ1025,Recruiter Screening,1,2025-02-18,Cleared,\N,4
STG000040,CAN00014,REQ1025,Profile Submission,2,2025-02-25,Rejected – Compensation Mismatch,REC009,1
STG000041,CAN00015,REQ1043,Recruiter Screening,1,2024-02-27,Rejected – Skills,\N,3
STG000042,CAN00016,REQ1006,Recruiter Screening,1,2024-05-15,Cleared,\N,3
STG000043,CAN00016,REQ1006,Profile Submission,2,2024-05-16,Rejected – Culture Fit,REC002,1
